Y,pxR,pxG,pxB
1.161202346041055655e+01,3.262695806626378370e-01,3.688406654537272900e-01,4.225769280572211906e-01
1.167096774193548470e+01,3.269853607942660445e-01,3.696372548120383517e-01,4.232492766981798549e-01
1.172991202346041106e+01,3.277011409258941410e-01,3.704338441703494689e-01,4.239216253391385192e-01
1.178885630498533743e+01,3.284169210575222930e-01,3.712304335286605306e-01,4.245939739800971835e-01
1.184780058651026380e+01,3.291327011891504450e-01,3.720270228869716478e-01,4.252663226210558478e-01
1.190674486803519017e+01,3.298484813207785415e-01,3.728236122452827095e-01,4.259386712620145121e-01
1.196568914956011653e+01,3.305642614524066936e-01,3.736202016035938267e-01,4.266110199029731764e-01
1.202463343108504468e+01,3.312800415840348456e-01,3.744167909619049439e-01,4.272833685439318963e-01
1.208357771260997104e+01,3.319958217156629976e-01,3.752133803202160056e-01,4.279557171848905606e-01
1.214252199413489741e+01,3.327116018472911496e-01,3.760099696785270673e-01,4.286280658258492249e-01
1.220146627565982378e+01,3.334273819789192461e-01,3.768065590368381845e-01,4.293004144668078892e-01
1.226041055718475015e+01,3.341431621105473981e-01,3.776031483951492462e-01,4.299727631077665535e-01
1.231935483870967829e+01,3.348589422421755502e-01,3.783997377534603634e-01,4.306451117487252178e-01
1.237829912023460466e+01,3.355747223738037022e-01,3.791963271117714807e-01,4.313174603896838821e-01
1.243724340175953103e+01,3.362905025054317987e-01,3.799929164700825424e-01,4.319898090306425464e-01
1.249618768328445739e+01,3.370062826370599507e-01,3.807895058283936596e-01,4.326621576716012108e-01
1.255513196480938376e+01,3.377220627686881027e-01,3.815860951867047213e-01,4.333345063125598751e-01
1.261407624633431013e+01,3.384378429003162547e-01,3.823826845450157830e-01,4.340068549535185394e-01
1.267302052785923827e+01,3.391536230319444067e-01,3.831792739033269002e-01,4.346792035944772037e-01
1.273196480938416464e+01,3.398694031635725032e-01,3.839758632616380174e-01,4.353515522354358680e-01
1.279090909090909101e+01,3.405851832952006553e-01,3.847724526199490791e-01,4.360239008763945323e-01
1.284985337243401737e+01,3.413009634268288073e-01,3.855690419782601963e-01,4.366962495173531966e-01
1.290879765395894374e+01,3.420167435584569038e-01,3.863656313365712580e-01,4.373685981583118609e-01
1.296774193548387188e+01,3.427325236900851113e-01,3.871622206948823752e-01,4.380409467992705808e-01
1.302668621700879825e+01,3.434483038217132078e-01,3.879588100531934369e-01,4.387132954402292451e-01
1.308563049853372462e+01,3.441640839533413598e-01,3.887553994115045541e-01,4.393856440811879094e-01
1.314457478005865099e+01,3.448798640849695119e-01,3.895519887698156158e-01,4.400579927221465737e-01
1.320351906158357735e+01,3.455956442165976084e-01,3.903485781281267331e-01,4.407303413631052380e-01
1.326246334310850372e+01,3.463114243482257604e-01,3.911451674864377948e-01,4.414026900040639023e-01
1.332140762463343187e+01,3.470272044798539124e-01,3.919417568447489120e-01,4.420750386450225666e-01
1.338035190615835823e+01,3.477429846114820644e-01,3.927383462030600292e-01,4.427473872859812309e-01
1.343929618768328460e+01,3.484587647431102164e-01,3.935349355613710909e-01,4.434197359269398953e-01
1.349824046920821097e+01,3.491745448747383129e-01,3.943315249196821526e-01,4.440920845678985596e-01
1.355718475073313734e+01,3.498903250063664649e-01,3.951281142779932698e-01,4.447644332088572239e-01
1.361612903225806548e+01,3.506061051379946170e-01,3.959247036363043870e-01,4.454367818498159437e-01
1.367507331378299185e+01,3.513218852696227690e-01,3.967212929946154487e-01,4.461091304907746080e-01
1.373401759530791821e+01,3.520376654012509210e-01,3.975178823529265659e-01,4.467814791317332723e-01
1.379296187683284458e+01,3.527534455328790175e-01,3.983144717112376276e-01,4.474538277726919366e-01
1.385190615835777095e+01,3.534692256645071695e-01,3.991110610695487448e-01,4.481261764136506009e-01
1.391085043988269732e+01,3.541850057961353215e-01,3.999076504278598065e-01,4.487985250546092653e-01
1.396979472140762546e+01,3.549007859277634735e-01,4.007042397861709238e-01,4.494708736955679296e-01
1.402873900293255183e+01,3.556165660593916256e-01,4.015008291444819855e-01,4.501432223365265939e-01
1.408768328445747819e+01,3.563323461910197221e-01,4.022974185027931027e-01,4.508155709774852582e-01
1.414662756598240456e+01,3.570481263226478741e-01,4.030940078611041644e-01,4.514879196184439225e-01
1.420557184750733093e+01,3.577639064542760261e-01,4.038905972194152816e-01,4.521602682594025868e-01
1.426451612903225730e+01,3.584796865859041226e-01,4.046871865777263433e-01,4.528326169003612511e-01
1.432346041055718544e+01,3.591954667175322746e-01,4.054837759360374605e-01,4.535049655413199154e-01
1.438240469208211181e+01,3.599112468491604266e-01,4.062803652943485222e-01,4.541773141822785798e-01
1.444134897360703818e+01,3.606270269807885787e-01,4.070769546526596394e-01,4.548496628232372441e-01
1.450029325513196454e+01,3.613428071124167307e-01,4.078735440109707566e-01,4.555220114641959084e-01
1.455923753665689091e+01,3.620585872440448272e-01,4.086701333692818183e-01,4.561943601051545727e-01
1.461818181818181905e+01,3.627743673756729792e-01,4.094667227275929355e-01,4.568667087461132370e-01
1.467712609970674542e+01,3.634901475073011312e-01,4.102633120859039972e-01,4.575390573870719013e-01
1.473607038123167179e+01,3.642059276389292832e-01,4.110599014442151145e-01,4.582114060280305656e-01
1.479501466275659816e+01,3.649217077705573797e-01,4.118564908025261762e-01,4.588837546689892299e-01
1.485395894428152452e+01,3.656374879021855318e-01,4.126530801608372934e-01,4.595561033099478943e-01
1.491290322580645089e+01,3.663532680338136838e-01,4.134496695191483551e-01,4.602284519509065586e-01
1.497184750733137903e+01,3.670690481654418358e-01,4.142462588774594723e-01,4.609008005918652784e-01
1.503079178885630540e+01,3.677848282970699878e-01,4.150428482357705340e-01,4.615731492328239427e-01
1.508973607038123177e+01,3.685006084286980843e-01,4.158394375940816512e-01,4.622454978737826070e-01
1.514868035190615814e+01,3.696635614007157122e-01,4.163768991717501367e-01,4.632165440927333844e-01
1.520762463343108450e+01,3.709207978029359642e-01,4.168597253739819708e-01,4.642505687166824657e-01
1.526656891495601265e+01,3.721780342051562163e-01,4.173425515762138605e-01,4.652845933406316026e-01
1.532551319648093902e+01,3.734352706073764128e-01,4.178253777784456946e-01,4.663186179645806839e-01
1.538445747800586538e+01,3.746925070095966648e-01,4.183082039806775287e-01,4.673526425885297653e-01
1.544340175953079175e+01,3.759497434118168613e-01,4.187910301829093074e-01,4.683866672124789021e-01
1.550234604105571812e+01,3.772069798140370578e-01,4.192738563851411415e-01,4.694206918364279835e-01
1.556129032258064449e+01,3.784642162162573098e-01,4.197566825873729757e-01,4.704547164603770648e-01
1.562023460410557263e+01,3.797214526184775618e-01,4.202395087896048653e-01,4.714887410843262017e-01
1.567917888563049900e+01,3.809786890206977583e-01,4.207223349918366995e-01,4.725227657082752830e-01
1.573812316715542536e+01,3.822359254229180103e-01,4.212051611940685336e-01,4.735567903322244199e-01
1.579706744868035173e+01,3.834931618251382068e-01,4.216879873963003678e-01,4.745908149561735012e-01
1.585601173020527810e+01,3.840277254792690553e-01,4.223335242225691455e-01,4.753541471466541934e-01
1.591495601173020624e+01,3.845244528638664394e-01,4.229875799296776151e-01,4.761033069584192368e-01
1.597390029325513261e+01,3.850211802484638235e-01,4.236416356367860292e-01,4.768524667701842801e-01
1.603284457478005720e+01,3.855179076330611521e-01,4.242956913438944433e-01,4.776016265819492679e-01
1.609178885630498712e+01,3.860146350176585917e-01,4.249497470510029129e-01,4.783507863937143667e-01
1.615073313782991349e+01,3.865113624022559202e-01,4.256038027581113825e-01,4.790999462054794100e-01
1.620967741935483986e+01,3.870080897868533043e-01,4.262578584652197966e-01,4.798491060172444533e-01
