Y,pxR,pxG,pxB
1.797302052785923721e+01,3.809011324110011532e-01,4.381239688987270120e-01,4.801078443508094429e-01
1.800249266862169861e+01,3.811927714435575654e-01,4.384643573664687710e-01,4.804976111418058915e-01
1.803196480938416357e+01,3.814841681005144425e-01,4.388044492979845668e-01,4.808870608233128396e-01
1.806143695014662853e+01,3.817753229690824535e-01,4.391442454387202710e-01,4.812761941670912758e-01
1.809090909090908994e+01,3.820662366341182614e-01,4.394837465310273972e-01,4.816650119417777431e-01
1.812038123167155490e+01,3.823569096781371801e-01,4.398229533141811420e-01,4.820535149129020480e-01
1.814985337243401631e+01,3.826473426813264411e-01,4.401618665243974826e-01,4.824417038429044680e-01
1.817932551319648127e+01,3.829375362215586831e-01,4.405004868948516616e-01,4.828295794911533489e-01
1.820879765395894267e+01,3.832274908744032205e-01,4.408388151556949519e-01,4.832171426139624248e-01
1.823826979472140764e+01,3.835172072131412535e-01,4.411768520340725308e-01,4.836043939646081369e-01
1.826774193548386904e+01,3.838066858087759714e-01,4.415145982541405223e-01,4.839913342933462315e-01
1.829721407624633400e+01,3.840959272300474847e-01,4.418520545370829833e-01,4.843779643474291907e-01
1.832668621700879896e+01,3.843849320434437056e-01,4.421892216011293342e-01,4.847642848711227748e-01
1.835615835777126037e+01,3.846737008132133928e-01,4.425261001615706236e-01,4.851502966057225641e-01
1.838563049853372533e+01,3.849622341013788640e-01,4.428626909307768478e-01,4.855360002895710569e-01
1.841510263929618674e+01,3.852505324677472087e-01,4.431989946182130491e-01,4.859213966580734900e-01
1.844457478005865170e+01,3.855385964699238333e-01,4.435350119304563021e-01,4.863064864437144919e-01
1.847404692082111310e+01,3.858264266633231188e-01,4.438707435712118121e-01,4.866912703760743475e-01
1.850351906158357806e+01,3.861140236011815774e-01,4.442061902413291796e-01,4.870757491818449858e-01
1.853299120234603947e+01,3.864013878345693986e-01,4.445413526388186098e-01,4.874599235848458001e-01
1.856246334310850443e+01,3.866885199124016070e-01,4.448762314588670108e-01,4.878437943060398574e-01
1.859193548387096939e+01,3.869754203814510518e-01,4.452108273938537031e-01,4.882273620635494416e-01
1.862140762463343080e+01,3.872620897863586209e-01,4.455451411333664069e-01,4.886106275726716519e-01
1.865087976539589221e+01,3.875485286696467302e-01,4.458791733642166744e-01,4.889935915458941129e-01
1.868035190615835717e+01,3.878347375717284828e-01,4.462129247704560986e-01,4.893762546929104063e-01
1.870982404692082213e+01,3.881207170309213805e-01,4.465463960333908022e-01,4.897586177206350033e-01
1.873929618768328353e+01,3.884064675834568159e-01,4.468795878315974246e-01,4.901406813332189749e-01
1.876876832844574849e+01,3.886919897634925625e-01,4.472125008409384428e-01,4.905224462320648682e-01
1.879824046920820990e+01,3.889772841031233219e-01,4.475451357345767711e-01,4.909039131158415836e-01
1.882771260997067486e+01,3.892623511323921592e-01,4.478774931829913597e-01,4.912850826804995297e-01
1.885718475073313627e+01,3.895471913793012719e-01,4.482095738539916274e-01,4.916659556192851110e-01
1.888665689149560123e+01,3.898318053698234809e-01,4.485413784127325054e-01,4.920465326227557723e-01
1.891612903225806264e+01,3.901161936279120002e-01,4.488729075217292586e-01,4.924268143787940977e-01
1.894560117302052760e+01,3.904003566755128718e-01,4.492041618408717518e-01,4.928068015726229101e-01
1.897507331378299256e+01,3.906842950325738473e-01,4.495351420274393273e-01,4.931864948868188714e-01
1.900454545454545396e+01,3.909680092170567112e-01,4.498658487361145153e-01,4.935658950013275814e-01
1.903401759530791892e+01,3.912514997449469401e-01,4.501962826189984668e-01,4.939450025934772337e-01
1.906348973607038033e+01,3.915347671302641386e-01,4.505264443256240536e-01,4.943238183379927153e-01
1.909296187683284529e+01,3.918178118850733638e-01,4.508563345029703573e-01,4.947023429070098732e-01
1.912243401759530670e+01,3.921006345194941178e-01,4.511859537954768795e-01,4.950805769700890591e-01
1.915190615835777166e+01,3.923832355417122830e-01,4.515153028450570871e-01,4.954585211942292844e-01
1.918137829912023307e+01,3.926656154579885594e-01,4.518443822911124008e-01,4.958361762438815989e-01
1.921085043988269803e+01,3.929477747726704551e-01,4.521731927705458509e-01,4.962135427809630239e-01
1.924032258064515943e+01,3.932297139882011128e-01,4.525017349177755110e-01,4.965906214648694306e-01
