Y,pxR,pxG,pxB
6.565705911089398938e+00,2.353993407382732606e-01,2.778874651639548499e-01,2.913771851398300750e-01
6.595017098192476723e+00,2.359060701974618479e-01,2.784750671099254227e-01,2.920250993956087782e-01
6.624328285295554508e+00,2.364116360681845774e-01,2.790612975202227397e-01,2.926715715537402951e-01
6.653639472398632293e+00,2.369160461533218465e-01,2.796461656437670418e-01,2.933166111837323675e-01
6.682950659501710078e+00,2.374193081693234675e-01,2.802296806266858509e-01,2.939602277497601057e-01
6.712261846604786975e+00,2.379214297475411577e-01,2.808118515139013671e-01,2.946024306122816960e-01
6.741573033707864759e+00,2.384224184355339116e-01,2.813926872506872234e-01,2.952432290296229667e-01
6.770884220810942544e+00,2.389222816983479492e-01,2.819721966841939875e-01,2.958826321595299236e-01
6.800195407914020329e+00,2.394210269197717955e-01,2.825503885649454094e-01,2.965206490606920320e-01
6.829506595017098114e+00,2.399186614035666021e-01,2.831272715483050817e-01,2.971572886942353553e-01
6.858817782120175899e+00,2.404151923746730979e-01,2.837028541959148997e-01,2.977925599251873279e-01
6.888128969223253684e+00,2.409106269803949207e-01,2.842771449771054892e-01,2.984264715239128285e-01
6.917440156326330580e+00,2.414049722915593277e-01,2.848501522702800437e-01,2.990590321675235530e-01
6.946751343429408365e+00,2.418982353036561173e-01,2.854218843642706283e-01,2.996902504412596868e-01
6.976062530532486150e+00,2.423904229379537090e-01,2.859923494596699478e-01,3.003201348398458759e-01
7.005373717635563935e+00,2.428815420425955163e-01,2.865615556701365807e-01,3.009486937688216068e-01
7.034684904738641720e+00,2.433715993936747812e-01,2.871295110236762316e-01,3.015759355458462743e-01
7.063996091841719505e+00,2.438606016962891476e-01,2.876962234638989480e-01,3.022018684019799895e-01
7.093307278944797289e+00,2.443485555855759439e-01,2.882617008512517454e-01,3.028265004829403528e-01
7.122618466047875074e+00,2.448354676277276765e-01,2.888259509642299161e-01,3.034498398503359673e-01
7.151929653150952859e+00,2.453213443209891764e-01,2.893889815005641908e-01,3.040718944828773584e-01
7.181240840254029756e+00,2.458061920966359837e-01,2.899508000783864170e-01,3.046926722775649687e-01
7.210552027357107541e+00,2.462900173199343290e-01,2.905114142373744768e-01,3.053121810508560019e-01
7.239863214460185326e+00,2.467728262910846848e-01,2.910708314398749441e-01,3.059304285398094514e-01
7.269174401563263110e+00,2.472546252461467753e-01,2.916290590720060916e-01,3.065474224032105899e-01
7.298485588666340895e+00,2.477354203579483494e-01,2.921861044447403577e-01,3.071631702226749749e-01
7.327796775769418680e+00,2.482152177369779666e-01,2.927419747949672746e-01,3.077776795037323598e-01
7.357107962872496465e+00,2.486940234322602694e-01,2.932966772865373550e-01,3.083909576768913974e-01
7.386419149975573362e+00,2.491718434322171272e-01,2.938502190112868839e-01,3.090030120986851925e-01
7.415730337078651146e+00,2.496486836655124608e-01,2.944026069900443354e-01,3.096138500526977588e-01
7.445041524181728931e+00,2.501245500018819401e-01,2.949538481736191375e-01,3.102234787505730451e-01
7.474352711284806716e+00,2.505994482529483869e-01,2.955039494437723957e-01,3.108319053330053094e-01
7.503663898387884501e+00,2.510733841730224958e-01,2.960529176141706853e-01,3.114391368707125629e-01
7.532975085490962286e+00,2.515463634598892328e-01,2.966007594313232465e-01,3.120451803653926937e-01
7.562286272594040071e+00,2.520183917555813835e-01,2.971474815755017485e-01,3.126500427506626600e-01
7.591597459697117856e+00,2.524894746471375573e-01,2.976930906616453432e-01,3.132537308929819742e-01
7.620908646800195640e+00,2.529596176673498120e-01,2.982375932402482333e-01,3.138562515925592544e-01
7.650219833903272537e+00,2.534288262954956239e-01,2.987809957982337505e-01,3.144576115842438457e-01
7.679531021006350322e+00,2.538971059580587553e-01,2.993233047598113927e-01,3.150578175384017299e-01
7.708842208109428107e+00,2.543644620294375214e-01,2.998645264873204264e-01,3.156568760617763925e-01
7.738153395212505892e+00,2.548308998326401231e-01,3.004046672820582797e-01,3.162547936983350905e-01
7.767464582315583677e+00,2.552964246399691550e-01,3.009437333850951135e-01,3.168515769301005758e-01
7.796775769418661461e+00,2.557610416736937897e-01,3.014817309780742360e-01,3.174472321779689965e-01
7.826086956521739246e+00,2.562247561067106938e-01,3.020186661839990849e-01,3.180417658025134764e-01
7.855398143624816143e+00,2.566875730631936747e-01,3.025545450680067749e-01,3.186351841047745936e-01
7.884709330727893928e+00,2.571494976192328363e-01,3.030893736381287673e-01,3.192274933270374260e-01
7.914020517830971713e+00,2.576105348034622988e-01,3.036231578460384384e-01,3.198186996535956617e-01
7.943331704934049498e+00,2.580706895976781490e-01,3.041559035877864914e-01,3.204088092115026098e-01
7.972642892037127282e+00,2.585299669374453990e-01,3.046876167045237671e-01,3.209978280713106091e-01
8.001954079140205067e+00,2.589883717126961193e-01,3.052183029832123973e-01,3.215857622477972799e-01
8.031265266243282852e+00,2.594459087683151921e-01,3.057479681573248009e-01,3.221726177006803971e-01
8.060576453346360637e+00,2.599025829047196257e-01,3.062766179075314676e-01,3.227584003353207720e-01
8.089887640449438422e+00,2.603583988784261005e-01,3.068042578623770833e-01,3.233431160034136997e-01
8.119198827552516207e+00,2.608133614026099112e-01,3.073308935989461088e-01,3.239267705036690814e-01
8.148510014655593992e+00,2.612674751476544155e-01,3.078565306435168680e-01,3.245093695824808333e-01
8.177821201758671776e+00,2.617207447416929345e-01,3.083811744722055326e-01,3.250909189345849160e-01
8.207132388861747785e+00,2.621731747711399385e-01,3.089048305115992266e-01,3.256714242037071494e-01
8.236443575964825570e+00,2.626247697812150728e-01,3.094275041393793613e-01,3.262508909832007586e-01
8.265754763067903355e+00,2.630755342764582450e-01,3.099492006849344228e-01,3.268293248166728726e-01
8.295065950170981139e+00,2.635254727212365533e-01,3.104699254299634337e-01,3.274067311986023077e-01
8.324377137274058924e+00,2.639745895402428322e-01,3.109896836090695338e-01,3.279831155749464711e-01
8.353688324377136709e+00,2.644228891189874808e-01,3.115084804103439020e-01,3.285584833437392160e-01
8.382999511480214494e+00,2.648703758042801892e-01,3.120263209759410183e-01,3.291328398556788715e-01
8.412310698583292279e+00,2.653170539047063903e-01,3.125432104026441005e-01,3.297061904147075562e-01
8.441621885686370064e+00,2.657629276910956073e-01,3.130591537424221582e-01,3.302785402785807789e-01
8.470933072789447849e+00,2.662080013969808090e-01,3.135741560029781105e-01,3.308498946594287671e-01
