Y,pxR,pxG,pxB
1.699413489736070204e+01,3.668600085126134669e-01,4.243993621364410274e-01,4.800388978545181429e-01
1.702346041055718473e+01,3.671467991678545317e-01,4.247110734671871723e-01,4.803789998945831030e-01
1.705278592375366742e+01,3.674335898230955966e-01,4.250227847979333173e-01,4.807191019346480076e-01
1.708211143695014655e+01,3.677203804783366614e-01,4.253344961286794068e-01,4.810592039747129123e-01
1.711143695014662569e+01,3.680071711335777263e-01,4.256462074594254963e-01,4.813993060147777614e-01
1.714076246334310838e+01,3.682939617888187911e-01,4.259579187901716413e-01,4.817394080548427215e-01
1.717008797653959107e+01,3.685807524440598559e-01,4.262696301209177863e-01,4.820795100949076262e-01
1.719941348973607020e+01,3.688675430993009208e-01,4.265813414516638757e-01,4.824196121349725308e-01
1.722873900293255289e+01,3.691543337545419856e-01,4.268930527824100207e-01,4.827597141750374354e-01
1.725806451612903203e+01,3.694411244097830505e-01,4.272047641131561102e-01,4.830998162151023401e-01
1.728739002932551472e+01,3.697279150650241153e-01,4.275164754439022552e-01,4.834399182551672447e-01
1.731671554252199385e+01,3.700147057202651801e-01,4.278281867746483447e-01,4.837800202952321493e-01
1.734604105571847654e+01,3.703014963755062450e-01,4.281398981053944897e-01,4.841201223352970540e-01
1.737536656891495568e+01,3.705882870307472543e-01,4.284516094361405791e-01,4.844602243753619586e-01
1.740469208211143837e+01,3.708750776859883747e-01,4.287633207668867241e-01,4.848003264154268632e-01
1.743401759530791750e+01,3.711618683412293840e-01,4.290750320976328136e-01,4.851404284554917679e-01
1.746334310850440019e+01,3.714486589964705043e-01,4.293867434283789586e-01,4.854805304955566725e-01
1.749266862170087933e+01,3.717354496517115137e-01,4.296984547591250481e-01,4.858206325356215771e-01
1.752199413489736202e+01,3.720222403069526340e-01,4.300101660898711931e-01,4.861607345756864818e-01
1.755131964809384115e+01,3.723090309621936433e-01,4.303218774206172825e-01,4.865008366157513864e-01
1.758064516129032384e+01,3.725958216174347082e-01,4.306335887513634275e-01,4.868409386558162910e-01
1.760997067448680298e+01,3.728826122726757730e-01,4.309453000821095170e-01,4.871810406958811956e-01
1.763929618768328567e+01,3.731694029279168379e-01,4.312570114128556620e-01,4.875211427359461003e-01
1.766862170087976480e+01,3.734561935831579027e-01,4.315687227436017515e-01,4.878612447760110049e-01
1.769794721407624749e+01,3.737429842383989675e-01,4.318804340743478964e-01,4.882013468160759095e-01
