Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
50,70,FG_2_5_0.5_BG_4_5_0.5.png,FG_2_5_0.5_BG_4_5_0.5.png,0.2936674952507019
50,70,FG_2_5_0.5_BG_4_5_1.0.png,FG_2_5_0.5_BG_4_5_1.0.png,0.2572883069515228
50,70,FG_2_5_1.0_BG_2_15_0.5.png,FG_2_5_1.0_BG_2_15_0.5.png,0.2669896185398102
50,70,FG_2_5_1.0_BG_2_15_1.0.png,FG_2_5_1.0_BG_2_15_1.0.png,0.2562469244003296
50,70,FG_2_5_1.0_BG_2_5_0.5.png,FG_2_5_1.0_BG_2_5_0.5.png,0.3178507387638092
50,70,FG_2_5_1.0_BG_2_5_1.0.png,FG_2_5_1.0_BG_2_5_1.0.png,0.3032011091709137
50,70,FG_2_5_1.0_BG_4_15_0.5.png,FG_2_5_1.0_BG_4_15_0.5.png,0.2661481499671936
50,70,FG_2_5_1.0_BG_4_15_1.0.png,FG_2_5_1.0_BG_4_15_1.0.png,0.2547154128551483
50,70,FG_2_5_1.0_BG_4_5_0.5.png,FG_2_5_1.0_BG_4_5_0.5.png,0.3065425455570221
50,70,FG_2_5_1.0_BG_4_5_1.0.png,FG_2_5_1.0_BG_4_5_1.0.png,0.27399471402168274
50,70,FG_4_50_0.5_BG_2_15_0.5.png,FG_4_50_0.5_BG_2_15_0.5.png,0.38335156440734863
50,70,FG_4_50_0.5_BG_2_15_1.0.png,FG_4_50_0.5_BG_2_15_1.0.png,0.37078040838241577
50,70,FG_4_50_0.5_BG_2_5_0.5.png,FG_4_50_0.5_BG_2_5_0.5.png,0.42707398533821106
50,70,FG_4_50_0.5_BG_2_5_1.0.png,FG_4_50_0.5_BG_2_5_1.0.png,0.4206036329269409
50,70,FG_4_50_0.5_BG_4_15_0.5.png,FG_4_50_0.5_BG_4_15_0.5.png,0.37909558415412903
50,70,FG_4_50_0.5_BG_4_15_1.0.png,FG_4_50_0.5_BG_4_15_1.0.png,0.36925917863845825
50,70,FG_4_50_0.5_BG_4_5_0.5.png,FG_4_50_0.5_BG_4_5_0.5.png,0.4158705770969391
50,70,FG_4_50_0.5_BG_4_5_1.0.png,FG_4_50_0.5_BG_4_5_1.0.png,0.4142560660839081
50,70,FG_4_50_1.0_BG_2_15_0.5.png,FG_4_50_1.0_BG_2_15_0.5.png,0.39154133200645447
50,70,FG_4_50_1.0_BG_2_15_1.0.png,FG_4_50_1.0_BG_2_15_1.0.png,0.3787945806980133
50,70,FG_4_50_1.0_BG_2_5_0.5.png,FG_4_50_1.0_BG_2_5_0.5.png,0.43788087368011475
50,70,FG_4_50_1.0_BG_2_5_1.0.png,FG_4_50_1.0_BG_2_5_1.0.png,0.4343511164188385
50,70,FG_4_50_1.0_BG_4_15_0.5.png,FG_4_50_1.0_BG_4_15_0.5.png,0.3860212564468384
50,70,FG_4_50_1.0_BG_4_15_1.0.png,FG_4_50_1.0_BG_4_15_1.0.png,0.3773435950279236
50,70,FG_4_50_1.0_BG_4_5_0.5.png,FG_4_50_1.0_BG_4_5_0.5.png,0.42451727390289307
50,70,FG_4_50_1.0_BG_4_5_1.0.png,FG_4_50_1.0_BG_4_5_1.0.png,0.42519474029541016
50,70,FG_4_5_0.5_BG_2_15_0.5.png,FG_4_5_0.5_BG_2_15_0.5.png,0.26344048976898193
50,70,FG_4_5_0.5_BG_2_15_1.0.png,FG_4_5_0.5_BG_2_15_1.0.png,0.25496041774749756
50,70,FG_4_5_0.5_BG_2_5_0.5.png,FG_4_5_0.5_BG_2_5_0.5.png,0.3141094148159027
50,70,FG_4_5_0.5_BG_2_5_1.0.png,FG_4_5_0.5_BG_2_5_1.0.png,0.2853148579597473
50,70,FG_4_5_0.5_BG_4_15_0.5.png,FG_4_5_0.5_BG_4_15_0.5.png,0.2629576325416565
50,70,FG_4_5_0.5_BG_4_15_1.0.png,FG_4_5_0.5_BG_4_15_1.0.png,0.24976712465286255
50,70,FG_4_5_0.5_BG_4_5_0.5.png,FG_4_5_0.5_BG_4_5_0.5.png,0.2966982126235962
50,70,FG_4_5_0.5_BG_4_5_1.0.png,FG_4_5_0.5_BG_4_5_1.0.png,0.265336811542511
50,70,FG_4_5_1.0_BG_2_15_0.5.png,FG_4_5_1.0_BG_2_15_0.5.png,0.26897794008255005
50,70,FG_4_5_1.0_BG_2_15_1.0.png,FG_4_5_1.0_BG_2_15_1.0.png,0.26221612095832825
50,70,FG_4_5_1.0_BG_2_5_0.5.png,FG_4_5_1.0_BG_2_5_0.5.png,0.32708877325057983
50,70,FG_4_5_1.0_BG_2_5_1.0.png,FG_4_5_1.0_BG_2_5_1.0.png,0.2967541813850403
50,70,FG_4_5_1.0_BG_4_15_0.5.png,FG_4_5_1.0_BG_4_15_0.5.png,0.2678188681602478
